row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
498866,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,3097,2011-07-26 00:00:00,600295,8279096,21:18:10,25.9982071992862,52.1450484114516,224 m,34 km/h,5.3851648071345
498867,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,3098,2011-07-26 00:00:00,600352,8279169,21:18:20,25.9982071992862,51.8524187321808,228 m,35 km/h,97.8008179924892
498868,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,3099,2011-07-26 00:00:00,600411,8279246,21:18:30,25.9982071992862,51.4622458264864,231 m,35 km/h,194.805030735862
499402,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,3633,2011-08-08 00:00:00,600277,8279072,21:21:09,28.7398415314434,39.7570586556538,213 m,36 km/h,24.8394846967484
499403,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,3634,2011-08-08 00:00:00,600337,8279150,21:21:19,28.6382995191413,38.976712844265,215 m,36 km/h,73.6002717386288
499404,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,3635,2011-08-08 00:00:00,600397,8279228,21:21:29,28.6382995191413,38.2939102592997,218 m,36 km/h,172.002906952179
499944,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,4175,2011-08-16 00:00:00,600265,8279055,21:29:45,31.2783918389964,34.0020082966611,220 m,35 km/h,45.6070170039655
499945,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,4176,2011-08-16 00:00:00,600323,8279131,21:29:55,31.3799338512986,33.9044650702375,225 m,36 km/h,50
499946,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,4177,2011-08-16 00:00:00,600384,8279211,21:30:05,31.3799338512986,34.0020082966611,228 m,38 km/h,150.602124819008
500466,78,600293,8279091,,P17.1,25.0709525676205,31.3265386123089,1.51352410819287,29.046256370051,13.0427283418267,0,4697,2011-08-29 00:00:00,600241,8279025,21:21:39,31.5830178759028,42.683355448362,224 m,33 km/h,84.0238061504
