DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2011-04-26,609163,8268702,19:49:37,27.115169334609543,79.84732471575545,195 m,30 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,609087,8268735,19:49:47,27.115169334609543,79.94486794217906,196 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608999,8268771,19:49:57,27.115169334609543,80.04241116860265,199 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608911,8268808,19:50:07,27.01362732230742,80.13995439502625,199 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608824,8268845,19:50:17,27.01362732230742,80.33504084787347,199 m,33 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608740,8268880,19:50:27,27.01362732230742,80.43258407429708,197 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608654,8268918,19:50:37,27.01362732230742,80.62767052714428,197 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608568,8268956,19:50:47,27.01362732230742,80.62767052714428,198 m,35 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608480,8268994,19:50:57,27.01362732230742,80.62767052714428,199 m,35 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608392,8269035,19:51:07,26.912085310005306,80.7252137535679,198 m,33 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608309,8269073,19:51:17,27.01362732230742,80.7252137535679,199 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608223,8269112,19:51:27,27.01362732230742,80.7252137535679,198 m,33 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608138,8269147,19:51:37,26.912085310005306,80.8227569799915,198 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,608051,8269183,19:51:47,26.912085310005306,80.8227569799915,197 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607964,8269220,19:51:57,27.01362732230742,80.8227569799915,198 m,35 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607874,8269258,19:52:07,27.01362732230742,80.7252137535679,196 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607786,8269295,19:52:17,26.912085310005306,80.53012730072068,196 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607700,8269332,19:52:27,26.912085310005306,80.33504084787347,197 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607612,8269370,19:52:37,27.01362732230742,80.33504084787347,197 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607526,8269407,19:52:47,26.912085310005306,80.33504084787347,198 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607439,8269444,19:52:57,26.912085310005306,80.33504084787347,197 m,35 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607349,8269482,19:53:07,26.912085310005306,80.33504084787347,200 m,35 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607259,8269521,19:53:17,26.912085310005306,80.33504084787347,203 m,34 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607173,8269558,19:53:27,26.912085310005306,80.43258407429708,206 m,33 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607090,8269593,19:53:37,26.912085310005306,80.43258407429708,207 m,33 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
2011-04-26,607006,8269629,19:53:47,26.810543297703184,80.53012730072068,204 m,33 km/h,,601022,8272091,,P3.14,,15.55354208578405,17.50963650045303,2.31775112489826,23.534560867361826,40.42684705990755,0.6576623615952824
